,Missing_Count,Missing_Percentage
OHX30RSC,304,5.46
OHX03RSC,304,5.46
OHX03SE,304,5.46
OHX04SE,304,5.46
OHX05SE,304,5.46
OHX07SE,304,5.46
OHX10SE,304,5.46
OHX12SE,304,5.46
OHX13SE,304,5.46
OHX14SE,304,5.46
OHX15SE,304,5.46
OHX18SE,304,5.46
OHX02SE,304,5.46
OHX19SE,304,5.46
OHX21SE,304,5.46
OHX28SE,304,5.46
OHX29SE,304,5.46
OHX30SE,304,5.46
OHX31SE,304,5.46
OHDRCSTS,304,5.46
BMDSTATS,304,5.46
SMAQUEX,304,5.46
RIDEXMON,304,5.46
WTSSTS2Y,304,5.46
OHX20SE,304,5.46
OHX31RSC,304,5.46
OHX08CSC,304,5.46
OHX29RSC,304,5.46
OHX04RSC,304,5.46
OHX05RSC,304,5.46
OHX06RSC,304,5.46
OHX07RSC,304,5.46
OHX08RSC,304,5.46
OHX09RSC,304,5.46
OHX10RSC,304,5.46
OHX11RSC,304,5.46
OHX12RSC,304,5.46
OHX13RSC,304,5.46
OHX14RSC,304,5.46
OHX15RSC,304,5.46
OHX18RSC,304,5.46
OHX19RSC,304,5.46
OHX20RSC,304,5.46
OHX21RSC,304,5.46
OHX22RSC,304,5.46
OHX23RSC,304,5.46
OHX24RSC,304,5.46
OHX25RSC,304,5.46
OHX26RSC,304,5.46
OHX27RSC,304,5.46
OHX28RSC,304,5.46
OHX02RSC,304,5.46
OHX07CSC,304,5.46
OHX13CSC,304,5.46
OHX05CSC,304,5.46
OHX09CTC,304,5.46
OHX08CTC,304,5.46
OHX07CTC,304,5.46
OHX06CTC,304,5.46
OHX05CTC,304,5.46
OHX04CTC,304,5.46
OHX03CTC,304,5.46
OHX02CTC,304,5.46
OHX10CTC,304,5.46
LUATECH,304,5.46
OHX06CSC,304,5.46
LUAPNME,304,5.46
LUAXSTAT,304,5.46
BPAOARM,304,5.46
OHDEXSTS,304,5.46
OHDDESTS,304,5.46
PHDSESN,304,5.46
HSAQUEX,304,5.46
LUANMTGP,304,5.46
OHX12CTC,304,5.46
OHX11CTC,304,5.46
OHX26CTC,304,5.46
OHX02CSC,304,5.46
OHX31CTC,304,5.46
OHX30CTC,304,5.46
OHX29CTC,304,5.46
OHX28CTC,304,5.46
OHX27CTC,304,5.46
OHX13CTC,304,5.46
OHX25CTC,304,5.46
OHX24CTC,304,5.46
OHX23CTC,304,5.46
OHX22CTC,304,5.46
OHX21CTC,304,5.46
OHX20CTC,304,5.46
OHX19CTC,304,5.46
OHX18CTC,304,5.46
OHX15CTC,304,5.46
OHX14CTC,304,5.46
OHX03CSC,304,5.46
OHX04CSC,304,5.46
FSQ165,305,5.48
SMD460,305,5.48
FSD151,305,5.48
FSD855,305,5.48
FSD032C,305,5.48
FSD032B,305,5.48
FSD032A,305,5.48
CBD111,313,5.62
CBD071,313,5.62
INQ320,313,5.62
INQ132,313,5.62
INQ090,313,5.62
INQ080,313,5.62
INQ060,313,5.62
INQ030,313,5.62
INQ140,313,5.62
INQ012,313,5.62
HOQ065,313,5.62
FIAINTRP,313,5.62
FIAPROXY,313,5.62
FIALANG,313,5.62
INDFMIN2,313,5.62
HOD050,313,5.62
CBD121,313,5.62
INQ020,313,5.62
INQ150,313,5.62
CBD131,315,5.66
CBD091,315,5.66
FSDAD,325,5.84
FSDHH,325,5.84
INDHHIN2,326,5.85
BMXHT,384,6.9
BMXWT,384,6.9
SMQ872,392,7.04
BMXBMI,394,7.07
PHAFSTMN,411,7.38
PHQ040,411,7.38
PHQ060,411,7.38
PHQ020,411,7.38
PHQ030,411,7.38
PHAFSTHR,411,7.38
PHQ050,411,7.38
IND235,438,7.86
INQ300,438,7.86
URXVOL1,439,7.88
INDFMMPC,441,7.92
URDUCRLC,442,7.94
URXCRS,442,7.94
URXUCR,442,7.94
URDUMALC,442,7.94
URXUMS,442,7.94
URXUMA,442,7.94
URDACT,442,7.94
BPAARM,500,8.98
BPACSZ,504,9.05
OHAPOS,512,9.19
OHX21TC,512,9.19
OHX14TC,512,9.19
OHX15TC,512,9.19
OHXIMP,512,9.19
OHX01TC,512,9.19
OHX02TC,512,9.19
OHX13TC,512,9.19
OHX03TC,512,9.19
OHX04TC,512,9.19
OHX05TC,512,9.19
OHX06TC,512,9.19
OHX07TC,512,9.19
OHX17TC,512,9.19
OHX18TC,512,9.19
OHX19TC,512,9.19
OHX20TC,512,9.19
OHX16TC,512,9.19
OHX22TC,512,9.19
OHX24TC,512,9.19
OHX12TC,512,9.19
OHX11TC,512,9.19
OHX10TC,512,9.19
OHX09TC,512,9.19
OHX08TC,512,9.19
OHX23TC,512,9.19
OHX32TC,512,9.19
OHX30TC,512,9.19
OHX29TC,512,9.19
OHX28TC,512,9.19
OHX27TC,512,9.19
OHX26TC,512,9.19
OHX25TC,512,9.19
OHX31TC,512,9.19
OHAREC,512,9.19
PUQ100,517,9.28
PUQ110,518,9.3
LBXMCVSI,541,9.71
LBXWBCSI,541,9.71
LBXMPSI,541,9.71
LBXPLTSI,541,9.71
LBXRDW,541,9.71
LBXMC,541,9.71
LBXMCHSI,541,9.71
LBXHCT,541,9.71
LBXHGB,541,9.71
LBXRBCSI,541,9.71
LBXLYPCT,545,9.79
LBDEONO,545,9.79
LBDNENO,545,9.79
LBDMONO,545,9.79
LBDLYMNO,545,9.79
LBXBAPCT,545,9.79
LBXEOPCT,545,9.79
LBXNEPCT,545,9.79
LBXMOPCT,545,9.79
LBDBANO,545,9.79
LBXNRBC,546,9.8
LBDTHGSI,548,9.84
LBXBPB,548,9.84
LBDBMNLC,548,9.84
LBDBMNSI,548,9.84
LBXBMN,548,9.84
LBDBSELC,548,9.84
LBDBSESI,548,9.84
LBXBSE,548,9.84
LBDTHGLC,548,9.84
LBXTHG,548,9.84
LBDBCDLC,548,9.84
LBDBCDSI,548,9.84
LBXBCD,548,9.84
LBDBPBLC,548,9.84
LBDBPBSI,548,9.84
LBXGH,551,9.89
BPXPLS,552,9.91
BPXPULS,552,9.91
BPXPTY,552,9.91
